eventid,iyear,imonth,iday,extended,provstate,city,latitude,longitude,location,summary,multiple,success,suicide,attacktype1_txt,targtype1_txt,targsubtype1_txt,corp1,target1,new_target,natlty1_txt,gname,,motive,claimmode_txt,weaptype1_txt,weapsubtype1_txt,,weapdetail,nkill,nwound,nkillter,nwoundte,property,propextent,propextent_txt,propvalue,propcomment
2.01E+11,2010,7,8,0,Banaadir,Mogadishu,2.052013,45.27065,"The incident occurred in the village of Elasha Biyaha, outside Mogadishu.","07/08/2010: On Thursday, in one of two related attacks in the village of Elasha Biyaha outside Mogadishu, Banaadir, Somalia, in response to grenade attack on a Hizbul Islam controlled police station, Hizbul Islam militants fired upon and injured two Somali civilians. No damage was reported and no group claimed responsibility.",1,1,0,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,,Civilians,Civilians,Somalia,Hizbul al Islam (Somalia),,The specific motive for the attack is unknown.,,Firearms,Unknown Gun Type,Unknown Gun Type,Unknown firearms were used in the attack.,0,2,0,0,0,,,,
2.01E+11,2010,7,8,0,Banaadir,Mogadishu,2.052013,45.27065,"The incident occurred in the village of Elasha Biyaha, outside Mogadishu.","07/08/2010: On Thursday, in the village of Elasha Biyaha outside Mogadishu, Banaadir, Somalia, unidentified assailants threw a grenade at a group of young people watching the world cup, killing one person and injuring two others. No damage was reported and no group claimed responsibility for the attack.",0,1,0,Bombing/Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,,Civilians,Civilians,Somalia,Unknown,,The specific motive for the attack is unknown.,,Explosives,Grenade,Grenade,A grenade was used in the attack.,1,2,0,0,0,,,,
2.01E+11,2010,7,13,1,Banaadir,Mogadishu,2.052013,45.27065,"The incident occurred in the village of Elasha Biyaha, outside Mogadishu.","07/13/2010: On Tuesday, in one of two related attacks, in the village of Elasha Biyaha near Mogadishu, Banaadir, Somalia, unidentified assailants detained five civilians by unknown means, for violations of Sharia law. No casualties or damages were reported and no group claimed responsibility, but the militant group Hizbul Islam was thought to be responsible for the attack. The status of the hostages is unknown.",1,1,0,Hostage Taking (Kidnapping),Private Citizens & Property,Unnamed Civilian/Unspecified,,Civilians,Civilians,Somalia,Hizbul al Islam (Somalia),,The specific motive for the attack was based on violations of Sharia law that the civilians had committed.,,Unknown,,0,It is unknown if weapons were used in the attack.,0,0,0,0,0,,,,
2.01E+11,2010,7,25,0,Banaadir,Mogadishu,2.059819,45.326115,The incident occurred at the Afar-Irdod road intersection in the Hamarweyne district of Mogadishu.,"07/25/2010: On Sunday, in one of two related attacks in the Hamarweyne district of Mogadishu, Banaadir, Somalia, unidentified assailants fired one mortar shell, hitting the Afar-Irdod road intersection, killing one person and injuring four others. No damage was reported and no group claimed responsibility for the attack.",1,1,0,Bombing/Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,,Civilians,Civilians,Somalia,Unknown,,The specific motive for the attack is unknown.,,Explosives,"Projectile (rockets, mortars, RPGs, etc.)","Projectile (rockets, mortars, RPGs, etc.)",A mortar was used in the attack.,1,4,0,0,0,,,,
2.01E+11,2010,8,4,0,Banaadir,Mogadishu,2.059819,45.326115,The incident occurred in in the Bondhere district of Mogadishu.,"08/04/2010: On Wednesday, in the Bondhere district of Mogadishu, Banaadir, Somalia, unidentified assailants detonated a land mine, killing three civilians and injuring 12 people. The victims were working as street cleaners. No damage was reported and no group claimed responsibility, but the militant group Al-Shabaab was thought responsible for the attack.",0,1,0,Bombing/Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,,Civilians working as street cleaners,Civilians,Somalia,Al-Shabaab,,The specific motive for the attack is unknown.,,Explosives,Landmine,Landmine,A land mine was used in the attack.,3,12,0,0,0,,,,
2.01E+11,2010,9,27,0,Sanaag,Las Khorey,11.161659,48.197037,,"09/27/2010: On Monday, in Laasqoray, Sanaag, Somalia, in one of two related attacks, unidentified militants fired upon the car of five Somaliland Nation-Link Company telecom workers. No casualties or damages were reported and no group claimed responsibility for the attack.",1,1,0,Armed Assault,Private Citizens & Property,Laborer (General)/Occupation Identified,Somaliland Nation-Link Company,Five civilian Somaliland Nation-Link Company telecom workers,Civilians,Somalia,Unknown,,The specific motive for the attack is unknown.,,Firearms,Unknown Gun Type,Unknown Gun Type,Unknown firearms were used in the attack.,0,0,0,0,-9,,,,It is unknown if the attack caused any property damage.
2.01E+11,2010,9,27,1,Sanaag,Las Khorey,11.161659,48.197037,,"09/27/2010: On Monday, in Laasqoray, Sanaag, Somalia, unidentified militants armed with unknown firearms kidnapped five Somaliland Nation-Link Company telecom workers. No casualties were reported and the status of the hostages is unknown. No group claimed responsibility for the attack.",1,1,0,Hostage Taking (Kidnapping),Private Citizens & Property,Laborer (General)/Occupation Identified,Somaliland Nation-Link Company,Five Somaliland Nation-Link Company telecom workers,Civilians,Somalia,Unknown,,The specific motive for the attack is unknown.,,Firearms,Unknown Gun Type,Unknown Gun Type,Unknown firearms were used in the attack.,0,0,0,0,0,,,,
2.01E+11,2010,10,1,1,Hiiraan,Beledweyne,4.73538,45.2024,,"10/01/2010: On Friday, in Beled Weyne, Hiiraan, Somalia, unidentified militants kidnapped 17 youth for wearing trousers extending beyond the ankles and for having foreign hair styles. No casualties were reported and the status of the hostages is unknown. No group has claimed responsibility, but the militant group Al Shabaab was thought to be responsible.",0,1,0,Hostage Taking (Kidnapping),Private Citizens & Property,Unnamed Civilian/Unspecified,,Civilians,Civilians,Solomon Islands,Al-Shabaab,,The specific motive for the attack was to deter civilians from wearing foreign clothing or having foreign hair styles.,,Unknown,,0,It is unknown if weapons were used in the attack.,0,0,0,0,0,,,,
2.01E+11,2010,10,1,0,Jubbada Hoose,Kismayo,-0.357847,42.54665,,"10/01/2010: On Friday, in Kismayu, Jubbada Hoose, Somalia, unidentified militants flogged and injured three men. One was flogged for theft, two for being secretly engaged, and the fourth for the use of narcotics. No group has claimed responsibility, but the militant group Al Shabaab was thought to be responsible for the attack.",0,1,0,Unarmed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,,Three civilians,Civilians,Somalia,Al-Shabaab,,"The specific motive for the attack was to punish the men for stealing, being secretly engaged and using narcotics.",,Melee,Blunt Object,Blunt Object,Unknown weapons were used in the attack.,0,3,0,0,0,,,,
2.01E+11,2010,10,1,0,Mudug,Harardhere,4.656037,47.85524,,"10/01/2010: On Friday, in Haradhere, Mudug, Somalia, four people were killed and 12 others were injured when unidentified militants fired upon a group of protesting civilians with firearms. No group has claimed responsibility, but the militant group Hizbul al Islam was thought to be responsible for the attack.",0,1,0,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,,Civilians,Civilians,Somalia,Hizbul al Islam (Somalia),,The specific motive for the attack is unknown.,,Firearms,Unknown Gun Type,Unknown Gun Type,Unknown firearms were used in the attack.,4,12,0,0,-9,,,,It is unknown if the attack caused any property damage.
2.01E+11,2010,10,27,0,Hiiraan,Beledweyne,4.73538,45.2024,,"10/27/2010: On Wednesday, in Beled Weyne, Hiiraan, Somalia, about 10 unidentified militants fired upon and killed two women accused of spying for the Somali government. No group claimed responsibility, but the militant group Al Shabaab was suspected to be responsible for the attack.",0,1,0,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,,Two civilians,Civilians,Somalia,Al-Shabaab,,The specific motive for the attack was to punish and prevent civilians from spying for the Somali government.,,Firearms,Unknown Gun Type,Unknown Gun Type,Unknown firearms were used in the attack.,2,0,0,0,-9,,,,It is unknown if the attack caused any property damage.
2.01E+11,2010,11,24,0,Banaadir,Mogadishu,2.059819,45.326115,The incident occurred in Wardhigley district of Mogadishu.,"11/24/2010: On Wednesday morning, in Mogadishu, Banaadir, Somalia, Bashir Ahmed Abdi, a lawyer who was a United States-Somali national, was killed when unidentified militants fired upon the car that was driving him to the presidential palace. No damage was reported and no group claimed responsibility for the attack.",0,1,0,Armed Assault,Private Citizens & Property,Race/Ethnicity Identified,,A United States-Somali national was targeted in the attack.,Civilians,United States,Unknown,,The specific motive for the attack is unknown.,,Firearms,Unknown Gun Type,Unknown Gun Type,Unknown firearms were used in the attack.,1,0,0,0,0,,,,
2.01E+11,2010,11,8,0,Gedo,Beled Hawo,3.926858,41.877171,,"11/08/2010: On Monday night, in Beled Haawo, Gedo, Somalia, militants took hostage at least five people that were suspected to be working for the Somali government. No casualties were reported and the status of the hostages is unknown. The militant group Al Shabaab claimed responsibility for the attack.",0,1,0,Hostage Taking (Kidnapping),Private Citizens & Property,Unnamed Civilian/Unspecified,,Civilians,Civilians,Somalia,Al-Shabaab,,The specific motive for the attack was to punish and prevent people from working for the Somali government.,Unknown,Unknown,,0,It is unknown if weapons were used in the attack.,0,0,0,0,-9,,,,It is unknown if the attack caused any property damage.
2.01E+11,2010,11,23,0,Hiiraan,Jalalaqsi District,3.380443,45.600202,,"11/23/2010: On Tuesday, in the Jalalaqsi District of Hiiraan, Somalia, unidentified militants lashed two teenagers twelve times for secretly eloping. The militant group Al Shabaab claimed responsibility for the attack.",0,1,0,Unarmed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,,Two civilians,Civilians,Somalia,Al-Shabaab,,The specific motive for the attack was to punish the teenagers and deter others from committing the same act.,Unknown,Melee,Blunt Object,Blunt Object,Unknown weapons were used in the attack.,0,2,0,0,0,,,,
2.01E+11,2010,11,11,0,Banaadir,Mogadishu,2.059819,45.326115,"The incident occurred in the district of Buulo Huubey in Mogadishu, Banaadir, Somalia.","11/11/2010: On Thursday night, in the district of Buulo Huubey in Mogadishu, Banaadir, Somalia, one tea shop owner was killed and seven other people were injured when unknown militants threw a grenade targeting a group of civilians. No damage was reported and no group has claimed responsibility for the attack.",0,1,0,Bombing/Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,,Civilians,Civilians,Somalia,Unknown,,The specific motive for the attack is unknown.,,Explosives,Grenade,Grenade,A grenade was used in the attack.,1,7,0,0,1,3,Minor (likely < $1 million),,The attack caused an unknown amount of property damage.
2.01E+11,2010,11,22,0,Banaadir,Mogadishu,2.059819,45.326115,,"11/22/2010: On Monday, in Mogadishu, Banaadir, Somalia, unidentified militants fired upon and executed two teens, one accused of sexually molesting another boy and the other accused of spying for the Somali government. No group claimed responsibility, but the militant group Al Shabaab was thought responsible for the attack.",0,1,0,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,,Two civilians,Civilians,Somalia,Al-Shabaab,,The specific motive for the attack was to punish the boys and deter others from committing the same acts.,,Firearms,Unknown Gun Type,Unknown Gun Type,Unknown firearms were used in the attack.,2,0,0,0,-9,,,,It is unknown if the attack caused any property damage.
2.01E+11,2010,12,2,0,Mudug,Galkayo,6.774396,47.429031,,"12/02/2010: On Thursday, in Galkayo, Mudug, Somalia, unidentified militants fired upon and injured the brother of the former Somali president Abdullahi Yusuf Ahmad. No group has claimed responsibility for the attack.",0,1,0,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,,A civilian was targeted in the attack.,Civilians,Somalia,Unknown,,The specific motive for the attack is unknown.,,Firearms,Unknown Gun Type,Unknown Gun Type,Unknown firearms were used in the attack.,0,1,0,0,-9,,,,It is unknown if the attack caused any property damage.
2.01E+11,2010,12,21,0,Hiiraan,Bulobarde,3.853246,45.565231,,"12/21/2010: On Tuesday, in Buulo Burte, Hiiraan, Somalia, unidentified militants amputated the hand of a man that had been accused of theft. No group has claimed responsibility, but the militant group Al Shabaab was thought responsible for the attack.",0,1,0,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,,A civilian was targeted in the attack.,Civilians,Somalia,Al-Shabaab,,The specific motive for the attack was to punish the man for theft and prevent others from doing the same.,,Melee,Knife or Other Sharp Object,Knife or Other Sharp Object,An unknown sharp object was used in the attack.,0,1,0,0,0,,,,
2.01E+11,2010,12,14,0,Baay,Diinsoor,2.405815,42.97707,,"12/14/2010: On Tuesday, in Dinsor, Bay, Somalia, militants cut off one hand of a youth that had been accused of theft. The militant group Al Shabaab claimed responsibility for the attack.",0,1,0,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,,A civilian was targeted in the attack.,Civilians,Somalia,Al-Shabaab,,The specific motive for the attack was to punish the victim for theft and prevent others from doing the same.,Unknown,Melee,Knife or Other Sharp Object,Knife or Other Sharp Object,An unknown sharp object was used in the attack.,0,1,0,0,0,,,,
2.01E+11,2010,12,9,0,Hiiraan,Beledweyne,4.73538,45.2024,,"12/09/2010: On Thursday, in Beled Weyne, Hiiraan, Somalia, militants flogged one man 15 times and one women 10 times after the two were accused of eloping. The militant group Al Shabaab claimed responsibility for the attack.",0,1,0,Unarmed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,,Two civilians,Civilians,Somalia,Al-Shabaab,,The specific motive for the attack was to punish the victims for eloping and prevent others from doing the same.,Unknown,Melee,Blunt Object,Blunt Object,Unknown blunt objects were used in the attack.,0,2,0,0,0,,,,
2.01E+11,2010,12,21,1,Shabeellaha Dhexe,Mahaday,2.299619,45.799469,,"12/21/2010: On Tuesday, in Mahaday, Shabeellaha Dhexe, Somalia, at least five Somali farmers were kidnapped by unidentified militants for failing to obey the militants' orders. No casualties were reported and the status of the hostages is unknown. No group has claimed responsibility, but the militant group Al Shabaab was thought responsible for the attack.",0,1,0,Hostage Taking (Kidnapping),Private Citizens & Property,Race/Ethnicity Identified,,Five Somali farmers,Civilians,Somalia,Al-Shabaab,,The specific motive for the attack was to punish the farmers for not obeying orders.,,Unknown,,0,It is unknown if weapons were used in the attack.,0,0,0,0,-9,,,,It is unknown if the attack caused any property damage.
2.01E+11,2011,1,4,0,Baay,Baydhaba,3.115641,43.64658,,"01/04/2011: On Tuesday, in Baidoa, Bay, Somalia, unidentified militants cut a hand and foot off of a young boy who had been accused of robbery. No group claimed responsibility, but the militant group Al Shabaab was thought to be responsible for the attack.",0,1,0,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,,A civilian was targeted in the attack.,Civilians,Somalia,Al-Shabaab,,The specific motive for the attack was to punish the boy and prevent others from stealing.,,Melee,Knife or Other Sharp Object,Knife or Other Sharp Object,An unknown sharp object was used in the attack.,0,1,0,0,0,,,,
2.01E+11,2011,1,6,0,Jubbada Hoose,Goob Weyn,-0.249257,42.601334,"The incident occurred in the village of Goobweyne, 24 km west of Kismayo.","01/06/2011: On Thursday, in the village of Goobweyne, 24 kilometers west of Kismayo, Jubbada Hoose, Somalia, unidentified militants shot and killed Nur Mohammed, who had been accused of spying for the Ethiopian government. No group claimed responsibility, but the militant group Al Shabaab was thought to be responsible for the attack.",0,1,0,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,,A civilian was targeted in the attack.,Civilians,Somalia,Al-Shabaab,,The specific motive for the attack was to punish the man and prevent others from spying for the government.,,Firearms,Unknown Gun Type,Unknown Gun Type,Unknown firearms were used in the attack.,1,0,0,0,-9,,,,It is unknown if the attack caused any property damage.
2.01E+11,2011,1,30,0,Banaadir,Mogadishu,2.059819,45.326115,,"01/30/2011: On Sunday, in a square in Mogadishu, Banaadir, Somalia, masked militants fired upon and killed a Somali man that had been accused of working for the U.S.' Federal Bureau of Investigation. The militant group Al Shabaab claimed responsibility for the attack.",0,1,0,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,,A civilian was targeted in the attack.,Civilians,Somalia,Al-Shabaab,,The specific motive for the attack was to punish the man for working for the U.S.' Federal Bureau of Investigation and prevent others from doing the same.,Personal claim,Firearms,Unknown Gun Type,Unknown Gun Type,Unknown firearms were used in the attack.,1,0,0,0,-9,,,,It is unknown if the attack caused any property damage.
2.01E+11,2011,1,27,0,Shabeellaha Hoose,Lafoole,2.08333,45.16667,The incident occurred in the city square of Lafoole.,"01/27/2011: On Thursday afternoon, in Lafoole, Shabeellaha Hoose, Somalia, Al Shabaab militants beat and injured nine civilians that had been accused of theft and breaking Islamic law in the city square. The militant group Al Shabaab claimed responsibility for the attack.",0,1,0,Unarmed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,,Civilians,Civilians,Somalia,Al-Shabaab,,The specific motive for the attack was to punish the civilians for breaking Islamic law.,Personal claim,Melee,Blunt Object,Blunt Object,Unknown blunt objects were used in the attack.,0,9,0,0,0,,,,
2.01E+11,2011,1,29,0,Woqooyi Galbeed,Hargeisa,9.556936,44.074135,The incident occurred outside of a stadium in Hargeisa.,"01/29/2011: On Saturday afternoon, in Hargeysa, Woqooyi Galbeed, Somalia, one civilian was killed and two others were injured when an improvised explosive device placed by unidentified militants detonated outside of a stadium. No damage was reported and no group claimed responsibility for the attack, although Al Shabaab was thought to be responsible.",0,1,0,Bombing/Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,,Civilians,Civilians,Somalia,Al-Shabaab,,The specific motive for the attack is unknown.,,Explosives,Other Explosive Type,Other Explosive Type,An improvised explosive device was used in the attack.,1,2,0,0,-9,,,,It is unknown if the attack caused any property damage.
2.01E+11,2011,1,16,1,Banaadir,Mogadishu,2.082062,45.207493,"The incident occurred in the area of Ceelsaha Biyaha, near Mogadishu.","01/16/2011: On Sunday, in the neighborhood of Ceelasha Biyaha on the outskirts of Mogadishu, Banaadir, Somalia, in one of two related attacks, unidentified militants took hostage eight Somali women for violating a Islamic decree by not wearing a hijab in public. No casualties were reported in the attack and the status of the hostages is unknown. No group has claimed responsibility, but the militant group Al Shabaab was thought responsible for the attack.",1,1,0,Hostage Taking (Kidnapping),Private Citizens & Property,Race/Ethnicity Identified,,Eight Somali women,Civilians,Somalia,Al-Shabaab,,The specific motive for the attack was to punish the women for not wearing hijabs in public.,,Unknown,,0,It is unknown if weapons were used in the attack.,0,0,0,0,-9,,,,It is unknown if the attack caused any property damage.
2.01E+11,2011,1,16,1,Banaadir,Mogadishu,2.059819,45.326115,"The incident occurred in the neighborhood of Lafole on the outskirts of Mogadishu, Banaadir, Somalia.","01/16/2011: On Sunday, in the neighborhood of Lafole on the outskirts of Mogadishu, Banaadir, Somalia, in one of two related attacks, unknown militants took hostage seven Somali women for violating a Islamic decree by not wearing a hijab in public. The status of the hostages is unknown. No casualties were reported and no group has claimed responsibility but, the militant group Al Shabaab was thought responsible for the attack.",1,1,0,Hostage Taking (Kidnapping),Private Citizens & Property,Unnamed Civilian/Unspecified,,Seven Somali women,Civilians,Somalia,Al-Shabaab,,The specific motive for the attack was to punish the women for not wearing hijabs in public.,,Unknown,,0,It is unknown if weapons were used in the attack.,0,0,0,0,-9,,,,It is unknown if the attack caused any property damage.
2.01E+11,2011,2,20,0,Shabeellaha Hoose,Wanlaweyn,2.619745,44.893681,,"02/20/2011: On Sunday, in Wanlaweyyn, Shabeellaha Hoose, Somalia, unknown militants amputated the hand of a man that had been accused of theft. No group has claimed responsibility, but the militant group Al Shabaab was thought responsible for the attack.",0,1,0,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,,A civilian was targeted in the attack.,Civilians,Somalia,Al-Shabaab,,The specific motive for the attack was to punish the man for stealing and prevent others from doing the same.,,Melee,Knife or Other Sharp Object,Knife or Other Sharp Object,An unknown sharp object was used in the attack.,0,1,0,0,0,,,,
2.01E+11,2011,2,6,0,Galguduud,El Bur,4.684885,46.622807,,"02/06/2011: On Sunday, in Ceelbuur, Galgudud, Somalia, militants cut off the hand of a teenager that had been accused of theft in the city square. The militant group Al Shabaab claimed responsibility for the attack.",0,1,0,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,,A civilian was targeted in the attack.,Civilians,Somalia,Al-Shabaab,,The specific motive for the attack was to punish the boy for stealing and deter others from doing the same.,Personal claim,Melee,Knife or Other Sharp Object,Knife or Other Sharp Object,An unknown sharp object was used in the attack.,0,1,0,0,0,,,,
2.01E+11,2011,2,10,0,Banaadir,Mogadishu,2.059819,45.326115,"The incident occurred in the Buulo Xuubey area of the sub-district of Wadajir in Mogadishu, Banaadir, Somalia.","02/10/2011: On Thursday, in the Buulo Xuubey area of Wadajir sub-district, in Mogadishu, Banaadir, Somalia, at least 16 people were injured when unknown militants detonated two grenades in a market causing an unknown amount of property damage. No group has claimed responsibility for the attack.",0,1,0,Bombing/Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,,Civilians,Civilians,Somalia,Unknown,,The specific motive for the attack is unknown.,,Explosives,Grenade,Grenade,Two grenades were used in the attack.,0,16,0,0,1,3,Minor (likely < $1 million),,The attack caused an unknown amount of property damage to the market
2.01E+11,2011,3,18,0,Jubbada Dhexe,Buale,1.630126,42.403107,"The incident occurred in the village of Sako, north of Buale.","03/18/2011: On Friday, in the village of Sako near Bu'ale, Jubbada Dhexe, Somalia, unidentified militants fired upon and killed two Somali civilians that had been accused of committing adultery. The two civilians were executed because the militants believe adultery is a violation of Islamic Sharia law. No group has claimed responsibility, but the militant group Al Shabaab was thought responsible for the attack.",0,1,0,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,,Two civilians,Civilians,Somalia,Al-Shabaab,,The men were believed to have been adulterers.,,Firearms,Unknown Gun Type,Unknown Gun Type,Unknown firearms were used in the attack.,2,0,0,0,-9,,,,It is unknown if the attack caused any property damage.
2.01E+11,2011,3,21,0,Hiiraan,Beledweyne,4.73538,45.2024,"The incident occurred in the village of Baad, near Beledweyne, Hiran, Somalia.","03/21/2011: On Monday afternoon, in the village of Baad near Beled Weyne, Hiiraan, Somalia, unidentified militants abducted two Somali teenagers and took them to Beled Weyne in Hiiraan, where the militants beheaded the two teens with an unknown bladed weapon. No group has claimed responsibility, but Al Shabaab militants were thought to be responsible for the attack.",0,1,0,Hostage Taking (Kidnapping),Private Citizens & Property,Unnamed Civilian/Unspecified,,Civilians,Civilians,Somalia,Al-Shabaab,,The specific motive for the attack is unknown.,,Melee,Knife or Other Sharp Object,Knife or Other Sharp Object,An unknown bladed weapons was used.,2,0,0,0,0,,,,
2.01E+11,2011,3,18,1,Banaadir,Mogadishu,2.059819,45.326115,The incident occurred in Yaqshid district in Mogadishu.,"03/18/2011: On Friday, in the sub-district of Yaaqshiid in Mogadishu, Banaadir, Somalia, armed militants kidnapped 30 people, including several clerics from a large ceremony. No casualties were reported and status of the hostages is unknown. The militant group Al Shabaab claimed responsibility for the attack.",0,1,0,Hostage Taking (Kidnapping),Private Citizens & Property,Unnamed Civilian/Unspecified,,Civilians,Civilians,Somalia,Al-Shabaab,,The specific motive for the attack is unknown.,,Unknown,,0,Unknown weapons were used in the attack.,0,0,0,0,0,,,,
2.01E+11,2011,3,2,0,Galguduud,Masagawa,3.703381,47.01585,,"03/02/2011: On Wednesday, in the village of Masagawa in Ceel Dheere, Galgudud, Somalia, militants beat and injured 47 Somali civilians that had been accused of violating orders given by Al Shabaab. The militant group Al Shabaab claimed responsibility for the attack.",0,1,0,Unarmed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,,Civilians,Civilians,Somalia,Al-Shabaab,,The specific motive for the attack is unknown.,,Melee,"Hands, Feet, Fists","Hands, Feet, Fists",Melee objects were used in the attack.,0,47,0,0,0,,,,
2.01E+11,2011,4,12,0,Shabeellaha Dhexe,Jowhar,2.777264,45.500641,,"04/12/2011: On Tuesday, in Jowhar, Gobolka Shabeellaha Dhexe, Somalia, four unidentified men armed with knives amputated a hand and a leg from three men that had been accused of robbery by Sheik Yusuf Hassan Barow, an al-Shabaab judge. The militant group al-Shabaab claimed responsibility for the attack through a public address.",0,1,0,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,,Civilians,Civilians,Somalia,Al-Shabaab,,The specific motive for the attack was a punishment for the victim's alleged crimes of theft.,Personal claim,Melee,Knife or Other Sharp Object,Knife or Other Sharp Object,Knives were used in the attack.,0,3,0,0,0,,,,
2.01E+11,2011,4,13,1,Gedo,Bardera,2.349308,42.280334,,"04/13/2011: On Wednesday, in Bardhere, Gedo, Somalia, unidentified militants kidnapped six Somali citizens who had been accused of having links to Ahlu Sunna Wahl Jamea. No casualties were reported and the status and location of the hostages is unknown. No group claimed responsibility, but the militant group al-Shabaab is thought to be responsible for the attack.",0,1,0,Hostage Taking (Kidnapping),Private Citizens & Property,Unnamed Civilian/Unspecified,,Civilians,Civilians,Somalia,Al-Shabaab,,The specific motive for the attack is unknown.,,Unknown,,0,It is unknown if weapons were used in the attack.,0,0,0,0,0,,,,
2.01E+11,2011,4,16,0,Mudug,Galkayo,6.774396,47.429031,"The incident occurred in the village of Garsor, near Galkayo.","04/16/2011: On Saturday evening, in the village of Garsoor outside of Galkayo, Mudug, Somalia, four people were killed and 10 people were injured when unidentified militants armed with AK-47 rifles and unknown pistols fired upon civilians at the Salahu-duin Mosque. No group claimed responsibility for the attack.",0,1,0,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,,Civilians,Civilians,Somalia,Unknown,,The specific motive for the attack was religious.,,Firearms,Rifle/Shotgun (non-automatic),Rifle/Shotgun (non-automatic),AK-47 rifles and unknown pistols were used in the attack.,4,10,0,0,0,,,,
2.01E+11,2011,4,17,0,Mudug,Galkayo,6.774396,47.429031,,"04/17/2011: On Sunday morning, in Galkayo, Mudug, Somalia, one person was killed and one person was injured when unidentified militants armed with AK-47 rifles and unknown pistols fired upon civilians at the Faruq Mosque. No group claimed responsibility for the attack.",0,1,0,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,,Civilians,Civilians,Somalia,Unknown,,The specific motive for the attack was religious.,,Firearms,Unknown Gun Type,Unknown Gun Type,Unknown firearms were used in the attack.,1,1,0,0,0,,,,
2.01E+11,2011,5,4,0,Baay,Baydhaba,3.115641,43.64658,The incident occurred at the Doctor Ayub soccer stadium in Baidoa.,"05/04/2011: On Wednesday afternoon, in the Doctor Ayub soccer stadium in Baidoa, Bay, Somalia, five unidentified militants fired upon and killed two men, Mohamed Hassan Adam and Abdulahi Adam Abdi, that had been accused of spying on al-Shabaab for the Somali government. The al-Shabaab judge, Sheikh Omar, claimed responsibility by announcing their executions.",0,1,0,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,,Two civilians,Civilians,Somalia,Al-Shabaab,,The specific motive for the attack was based on the victims allegedly being spies for the Somali government.,Other,Firearms,Unknown Gun Type,Unknown Gun Type,Unknown firearms were used in the attack.,2,0,0,0,0,,,,
2.01E+11,2011,5,29,1,Jubbada Hoose,Kismayo,-0.357847,42.54665,,"05/29/2011: On Sunday, in Kismayo, Jubbada Hoose, Somalia, suspected al-Shabaab militants abducted eight teenagers who were accused of committing deeds against the Islamic religion according to the militants. No casualties were reported and the status of the hostages is unknown. No group claimed responsibility, although al-Shabaab is thought to be responsible.",0,1,0,Hostage Taking (Kidnapping),Private Citizens & Property,Unnamed Civilian/Unspecified,,Civilians,Civilians,Somalia,Al-Shabaab,,The specific motive for the attack was the deeds against the Islamic religion committed by the victims.,,Unknown,,0,It is unknown if weapons were used in the attack.,0,0,0,0,0,,,,
2.01E+11,2011,5,20,1,Baay,Buurhakaba,2.798167,44.07856,,"05/20/2011: On Friday, in Burhakaba, Shabeellaha Hoose, Somalia, suspected al Shabaab militants took ten civilians hostage for violating their orders of selling a substance known as Khat. No casualties were reported and the status of the hostages is unknown. No group claimed responsibility, although al Shabaab was suspected.",0,1,0,Hostage Taking (Kidnapping),Private Citizens & Property,Unnamed Civilian/Unspecified,,Civilians,Civilians,Somalia,Al-Shabaab,,The specific motive for the attack was the violation of selling Khat by the victims.,,Unknown,,0,It is unknown if weapons were used in the attack.,0,0,0,0,0,,,,
